Sub,Category,Dif,Time periods,Question,Answer
Translation,Language,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Mars's two moons, Phobos and Deimos, translate to which emotions in English?",Fear and anxiety.
Space,Nature,1,2000s,Which celestial body was demoted from planet to dwarf planet in 2006?,Pluto.
Chemistry,Science,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Which element comes next in this series? Hydrogen, lithium, sodium...",Potassium.
Olympics,Sports,1,2020s,In which year did the Tokyo 2020 Olympics take place?,2021
Olympics,Sports,5,"1990s, 2000s, 2010s",How many times has the National Hockey League sent its players to the Olympics?,Five. (1998-2014)
Lines,Movies,2,1990s,What did Forrest Gump's mama always say life was like?,A box of chocolates.
Aliases,Pop culture,1,"1990s, 2000s, 2010s, 2020s",What is Eminem's real name?,Marshall Mathers.
Countries,Geography,4,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The area between the two Koreas is known as the DMZ. What does this stand for?,DeMilitarized Zone.
Websites,Technology,3,2010s,What was Google's failed attempt at a social network to compete with Facebook called?,Google+. (Google Plus)
Developers,Video Games,2,2010s,Which gaming studio made Cyberpunk 2077 and The Witcher video games?,CD Projekt Red.
Names,Technology,3,"2000s, 2010s, 2020s",The Reaper and Predator are US military types of what?,Drones.
Stocks,Economics,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the options world, what is the opposite of a call?",A put.
Finance,Economics,3,"1980s, 1990s, 2000s",Who orchestrated the largest known Ponzi scheme of all time?,Bernie Maddoff.
Chemistry,Science,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many carbon atoms are in a molecule of sucrose (table sugar)?,Twelve.
Terms,Technology,5,"1990s, 2000s, 2010s, 2020s",What does the DDoS in DDoS attack stand for?,Distributed denial-of-service.
Cryptocurrency,Economics,2,"2010s, 2020s",What is the pseudonym of the inventor of Bitcoin?,Satoshi Nakamoto.
Cryptocurrency,Economics,3,"2010s, 2020s",Who is the founder of the Ethereum network?,Vitalik Buterin.
Leaders,Politics,1,1900-1950,"In his inaugural address, what did Franklin D Roosevelt claim was the only thing we have to fear?",Fear itself.
Units,Science,1,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the centigrade scale more commonly known as?,The Celsius scale.
Notation,Music,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the symbol that is usually at the start of a piece of sheet music called?,A clef.
Leaders,Politics,1,"1970s, 1980s, 1990s",Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher.
Teams,Sports,3,"1990s, 2000s, 2010s, 2020s",The Memphis Grizzlies were formerly located in which Canadian city?,Vancouver.
Currency,Economics,4,1800-1900,Who is the first female to be featured on United States currency?,Pocahontas.
Shows,Television,1,"2000s, 2010s",The television series Game of Thrones was based on which book series?,A Song of Ice and Fire.
Characters,Television,2,"2010s, 2020s",Walter White is to Breaking Bad as Marty Byrde is to what?,Ozark.
Lines,Television,2,"2000s, 2010s","According Ygritte and Melisandre, what does Jon Snow know?",Nothing.
Shows,Television,2,"1990s, 2000s","Not including the reunion, how many seasons did the show Friends run for?",Ten.
Chemistry,Science,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the biochemical world, what does DNA stand for?",Deoxyribonucleic acid.
Landmarks,Geography,4,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Heathrow is to London as Schipol is to which city?,Amsterdam.
Characters,Movies,3,2010s,Which Marvel character did Disney and Sony have a well-known IP battle over?,Spiderman.
Actors,Television,1,"2000s, 2010s",Who played Francis Underwood in Netflix's House of Cards?,Kevin Spacey.
Games,Video games,1,"1990s, 2000s, 2010s, 2020s",What is the video game series called in which many Nintendo characters fight each other?,Super Smash Bros.
Games,Video games,4,2010s,Which short-lived mobile trivia game featured live hosts and cash prizes?,Trivia HQ.
Poetry,Literature,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many lines does a haiku have?,Three.
Poetry,Literature,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many syllables does a haiku have?,Seventeen.
Constants,Math,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the fourth digit of pi?,One.
Celebrities,Pop culture,2,2000s,Which university did Mark Zuckerberg drop out of?,Harvard.
Physics,Science,3,1500-1800,Isaac Newton proposed three laws of what?,Motion.
Units,Science,2,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",A newton is a measure of what physical quantity?,Force.
Problems,Math,5,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the squareroot of -1?,i.
Instruments,Music,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many strings does a marimba have?,Zero.
Awards,Sports,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What trophy is awarded to the Canadian Football League champion team?,The Grey Cup.
Terms,Technology,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In military aviation, what does BVR stand for?",Beyond Visual Range.
Games,Miscellaneous,3,"2000s, 2010s, 2020s",What popular tile-laying board game is named after a French city?,Carcassonne.
Celebrities,Pop culture,2,"2000s, 2010s",Jared Fogle was the former spokesman for which popular fast food chain?,Subway.
Games,Miscellaneous,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many pawns are present at the start of a chess game?,Sixteen.
Actors,Movies,4,1970s,Who played the godfather in the 1974 movie The Godfather?,Marlon Brando.
Terms,Technology,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does the 'AM' in AM radio stand for?,Amplitude Modulation.
Terms,Economics,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are taxes on imports called?,Tariffs or duties.
Artists,Music,4,"1990s, 2000s, 2010s",Thomas Bangalter and Guy Manuel de Homem-Christo are known as which music duo?,Daft Punk.
Leaders,Politics,5,2020s,How many US presidents have been assassinated while in office?,"Four. (Abraham Lincoln, James Garfield, William McKinley, and John F Kennedy)"
Cities,Geography,3,"2000s, 2010s, 2020s",Which Chinese city is known as the Silicon Valley of manufacturing?,Shenzhen.
War,History,2,1900-1950,Which two Japanese cities did the US drop nuclear bombs on in World War 2?,Hiroshima and Nagasaki.
Events,History,3,2010s,What country was the first to nationally legalize marijuana?,Canada.
Terms,Technology,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the needle of a record player technically called?,A stylus.
Game Shows,Television,5,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many game-related answers are given in a full game of Jeopardy!?,61
Actors,Television,4,"1990s, 2000s, 2010s, 2020s",Who does the voice of Bart Simpson on the television series The Simpsons?,Nancy Cartwright.
Scientists,Science,4,1800-1900,Who invented the pasteurization process?,Louis Pasteur.
Holy Books,Theology,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many books are in the Torah?,"Five (Genesis, Exodus, Leviticus, Numbers, and Deuteronomy)"
Rules,Sports,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What score corresponds to a perfect game in ten-pin bowling?,300
,Miscellaneous,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Lysergic acid diethylamide is commonly known as what three-letter acronym?,LSD.
Characters,Video games,1,"2000s, 2010s, 2020s",Master Chief is the protagonist of which video game franchise?,Halo.
Games,Miscellaneous,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many points is the letter K worth in Scrabble?,Five.
Computing,Technology,4,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","On a North American QWERTY keyboard, what symbol will pressing the 7 key while holding the SHIFT key yield?",The ampersand. (&)
Game Shows,Television,2,2000s,Who was the host of the television series Fear Factor?,Joe Rogan.
Physics,Science,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the four fundamental forces of nature?,"Gravity, electromagnetism, the strong nuclear force, and the weak nuclear force."
Artists,Music,2,"2000s, 2010s",Chester Bennington was the singer of which popular nu metal band?,Linkin' Park.
,Miscellaneous,1,"2010s, 2020s",How many wheels are on a slingshot motorcycle?,Three.
,Technology,5,2000s,What was the first model of Tesla electric car called?,The Roadster.
Restaurants,Food,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which tire company also has a famous rating system of restaurants?,Michelin.
Human Body,Nature,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In total, how many teeth does a human being usually have in their lifetime?",60
Artists,Music,3,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Ozzy Osbourne is to Black Sabbath as James Hetfield is to which band?,Metallica.
Geometry,Math,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many platonic solids are there?,"Five. (Tetrahedron, cube, octahedron, dodecahedron, and icosahedron)"
Characters,Television,1,1960s,What is Barney's last name in the television series The Flintsones?,Rubble.
Artists,Music,2,"2000s, 2010s, 2020s",Which popular electronic dance music producer performs in a helmet resembling Mickey Mouse?,deadmau5.
Terms,Miscellaneous,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Hypersonic flight is flight faster than what speed on the Mach scale?,Mach 5.
Celebrities,Pop culture,4,"2000s, 2010s, 2020s",Who is the founder of Wikipedia?,Jimmy Wales.
Characters,Movies,4,1990s,What was the name of Happy Gilmore's rival golfer in the 1996 movie Happy Gilmore?,Shooter McGavin.
Games,Miscellaneous,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the only chess piece than can take another piece but end up on a different square?,A pawn. (Via en passant)
Athletes,Sports,5,1990s,"Which team did Manon Rheaume, the National Hockey League's only ever female player, play for?",The Tampa Bay Lightning
Problems,Math,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the sum of all of the values on a standard six-sided die?,21
Landmarks,Geography,3,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which city is the Central Intelligence Agency's headquarters located?,"Langley, Virginia."
Events,History,3,1960s,In which year did humanity first set foot on the moon?,1969
Chemistry,Science,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the first three elements of the periodic table?,"Hydrogen, helium, and lithium."
Names,Technology,5,"1980s, 1990s, 2000s, 2010s, 2020s",What does the gene-editing technology called CRISPR stand for?,Clustered regularly interspaced short palindromic repeats.
Theory,Music,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many notes are in a major scale?,Seven.
Shows,Television,3,"2000s, 2010s",Steve Carrell was a regular on which Comedy Central satirical political talk show?,The Daily Show.
Authors,Literature,4,1800-1900,Who wrote the book On the Origin of Species?,Charles Darwin
Celebrities,Pop culture,5,2000s,"When Disney bought Pixar, who became the largest single shareholder of Disney as a direct result?",Steve Jobs.
Units,Science,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Frequency of sound is measured in what unit?,Hertz.
Foodstuffs,Food,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Yak, lichen, airag, and milbenkase are all types of what?",Cheese.
Comics,Pop culture,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is Harvey Dent's alter ego in the Batman universe?,Two-Face.
War,History,2,2020s,What letter became symbolic of the 2022 Russian invasion of Ukraine?,Z.
Programming,Technology,1,"1990s, 2000s, 2010s, 2020s",What popular programming language is named after a type of snake?,Python.
,Geography,5,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What country's flag is the only one that doesn't contain red, blue, or white?",Jamaica.
Theory,Music,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What note is five semitones higher than G?,B.
Theory,Music,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What note corresponds to the 440Hz tuning standard?,A.
Games,Miscellaneous,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What kids game is named after a famous Venetian explorer?,Marco Polo.
Athletes,Sports,4,"1990s, 2000s",How many Superbowls did quarterback Brett Favre play in?,Two.
Problems,Math,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is two times pi known as?,Tau.
Territories,Geography,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the two French territories in North America called?,Saint-Pierre and Miquelon.
Definitions,Language,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the one-word term for killing one's father?,Patricide.
Machines,Technology,3,2000s,What was Honda's robot created in 2000 called?,ASIMO.
Names,Technology,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does NASA stand for?,National Aeronautics and Space Administration.
Advances,Technology,2,"2000s, 2010s, 2020s","Perseverance, Curiosity, and Opportunity are all names of Martian what?",Rovers.
Chemistry,Science,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The sugar lactose contains which two monosaccharide subunits?,Glucose and galactose.
Units,Science,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which value is considered neutral on the pH scale?,7
Events,History,4,2010s,"The uprisings in Libya, Egypt, Yemen, Syria, and Bahrain between 2010 and 2012 are collectively known as what?",The Arab Spring.
Capitals,Geography,3,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the capital of New York State?,Albany.
Products,Miscellaneous,1,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What number occupies the same location on a standard calculator and phone dial pad?,5
Artists,Music,2,"1980s, 1990s, 2000s, 2010s, 2020s",Who is the frontman of the band Nine Inch Nails?,Trent Reznor.
Celebrities,Pop culture,5,2000s,Who was standing next to Kanye West as he proclaimed that 'George Bush does not care about black people'?,Mike Meyers.
Lyrics,Music,4,2000s,"In the Daft Punk classic, which three words follow 'Work it harder, make it better'?",Do it faster.
Landmarks,Geography,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which bay is Alcatraz Federal Penitentiary located?,San Francisco Bay.
Details,Video games,4,"2010s, 2020s",What was the fictional city based on Los Angeles called in Grand Theft Auto V?,Los Santos.
Rules,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many points is a safety worth in American football?,Two.
Celebrities,Pop culture,1,"1980s, 1990s",Michael Jackson popularized which cosmic backward slide dance move?,The moonwalk.
Artists,Music,5,1980s,Who was featured on guitar on Michael Jackson's hits Beat It and Dirty Diana?,Eddie Van Halen.
Names,Technology,2,"2000s, 2010s","Yosemite, Big Sur, High Sierra, Mountain Lion, and El Capitan are all examples of what?",Mac operating systems.
Names,Technology,3,"2000s, 2010s","What comes next in this sequence? XP, Vista, 7, 8...",10
Shows,Television,3,"2010s, 2020s",What live action Seth MacFarlane show is loosely based on Star Trek?,The Orville.
Names,Technology,4,2000s,What was Microsoft's failed attempt at an iPod competitor called?,The Zune.
Actors,Movies,1,2010s,Michael Fassbender and Ashton Kutcher both played which tech icon?,Steve Jobs.
Scientists,Science,5,1900-1950,Who discovered penicillin?,Alexander Fleming.
Characters,Television,1,1990s,What was the teacher's name in the original Magic School Bus?,Ms Frizzle.
Shows,Television,4,"1990s, 2000s, 2010s, 2020s",Who are the creators of South Park?,Trey Parker and Matt Stone.
Instruments,Music,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","The Stratocaster, Telecaster, and Les Paul Studio are all examples of what?",Guitars.
Instruments,Music,3,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many keys are on a grand piano?,88
Actors,Television,2,"2000s, 2010s, 2020s",Larry David stars in which HBO show loosely based on his life?,Curb Your Enthusiasm.
Terms,Math,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many digits does a googol contain?,101
Characters,Television,3,"2000s, 2010s","Ricky, Julian, and Bubbles are the main characters of which popular Canadian TV series?",Trailer Park Boys.
Artists,Music,2,"1980s, 1990s, 2000s, 2010s",Gord Downie was the lead singer of which popular Canadian band?,The Tragically Hip.
Chemistry,Science,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Glycine, tyrosine, and alanine are all examples of what protein building blocks?",Amino acids.
Shows,Television,4,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which building is Saturday Night Live filmed in?,30 Rock. (30 Rockefeller Plaza)
Games,Miscellaneous,2,"2000s, 2010s, 2020s","Magnus Carlsen, Bobby Fisher, and Garry Kasparov are all examples of grandmasters of what?",Chess.
Cities,Geography,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which American city is known as The Windy City?,Chicago.
Chemistry,Science,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What comes next in this sequence? Methane, ethane, propane...",Butane.
Advances,Technology,3,"1800-1900, 1900-1950",Nikola Tesla is to alternating current as Thomas Edison is to what?,Direct current.
Quotes,History,5,1900-1950,Who said 'There are decades where nothing happens and there are weeks where decades happen.'?,Vladimir Lenin.
Artists,Music,4,"1990s, 2000s, 2010s",Marilyn Manson derived his stage name from which American icon and serial killer?,Marilyn Monroe and Charles Manson.
Shows,Television,3,"1980s, 1990s",What cable network produced Seinfeld?,NBC.
Leaders,Politics,4,"2000s, 2010s",What position did Hillary Clinton hold in the Obama Administration?,Secretary of State.
Games,Miscellaneous,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What lies between a flush and four-of-a-kind in standard poker hand rankings?,A full house.
Physics,Science,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the three parts of a lever called?,"Fulcrum, effort (input force), and load (output force)."
Teams,Sports,2,"1990s, 2000s, 2010s, 2020s",The battle of Ontario in the National Hockey League would be between which two teams?,The Toronto Maple Leafs and the Ottawa Senators.
Deaths,Pop culture,5,1980s,What Motown singer was shot and killed by his own father in 1984?,Marvin Gaye.
Chemistry,Science,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is ascorbic acid commonly known as?,Vitamin C.
World Religions,Theology,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What six-pointed symbol is representative of Judaism?,The Star of David.
Stocks,Economics,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In Eastern Time, between which times of day is the New York Stock Exchange open on most trading days?",9:30AM to 4:00PM.
Other,Miscellaneous,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the national animal of Scotland?,The unicorn.
Terms,Economics,5,"2010s, 2020s",What is a privately-held company with a valuation of over a billion dollars colloquially known as?,A unicorn.
Details,Literature,3,"1990s, 2000s, 2010s",What are the four houses of Hogwarts School of Witchcraft and Wizardry?,"Gryffindor, Ravenclaw, Hufflepuff, and Slytherin."
Lines,Literature,4,1900-1950,"Complete the phrase: One ring to rule them all, one ring to find them, one ring to trap them all...",And in the darkness bind them.
Instruments,Music,1,"1500-1800, 1800-1900, 1900-1950",On which part of the guitar are frets located?,The neck.
Terms,Technology,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What does SONAR, as in the underwater detection method, stand for?",SOund NAvigation and Ranging.
Terms,Miscellaneous,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does SCUBA stand for?,Self-Contained Underwater Breathing Apparatus.
Terms,Technology,3,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is a shorter way of saying 'light amplification by the stimulated emission of radiation'?,Laser.
Events,History,2,"1990s, 2000s",What was the first cloned sheep's name?,Dolly.
Foodstuffs,Food,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is another name for cilantro?,Coriander.
Animals,Nature,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is a baby kangaroo called?,A joey.
Teams,Sports,4,"1990s, 2000s, 2010s, 2020s",How many National Hockey League teams does California have?,"Three. (Los Angeles Kings, Anaheim Ducks, and San Jose Sharks)"
Events,History,1,1800-1900,What territory did the United States purchase from the Russian Empire in 1867?,Alaska.
Origins,Food,5,1900-1950,From which country did Caesar salad originate?,Mexico.
Terms,Sports,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does the BASE in base jumping stand for?,"Buildings, antennas, spans, and earth."
Mascots,Food,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which McDonald's character is a criminal dressed in black and white?,The Hamburglar.
Animals,Nature,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the fastest animal?,The peregrine falcon.
Units,Science,4,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How long is one astronomical unit?,93 million miles or 150 million kilometres.
Languages,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many letters does the Italian alphabet officially contain?,21
Animals,Nature,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is a group of owls called?,A parliament.
Animals,Nature,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is a group of geese called?,A gaggle.
Foodstuffs,Food,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What poison is found in pear and apple seeds?,Arsenic.
Details,Movies,5,1960s,"In You're a Mean One, Mr Grinch, how long is the pole that the singer wouldn't touch the Grinch with?",39-and-a-half feet.
Figures,History,5,1500-1800,Who invented the glass harmonica?,Benjamin Franklin.
Details,Movies,4,1990s,What was Morpheus's ship called in the 1999 movie The Matrix?,The Nebuchadnezzar.
Details,Movies,3,2000s,Which battle was the 2001 movie Enemy at the Gates set during?,The Battle of Stalingrad.
Slogans,Miscellaneous,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which shoe company's slogan is 'Off The Wall'?,Vans.
Festivals,Movies,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which city is the largest film festival held?,"Cannes, France."
Characters,Literature,3,1950s,Holden Caufield is the protagonist of what 1951 book?,The Catcher in the Rye.
Museums,Art,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which museum is the Mona Lisa located?,The Louvre.
Actors,Movies,1,"2000s, 2010s",Who plays Robert Langdon in the movies based on Dan Brown's books?,Tom Hanks.
